index,idS,excepcion
82,A0O4,No hay ruta entre origen (ID 3623024131) y destino (ID 1198115095)
133,A1E3,No hay ruta entre origen (ID 4585419636) y destino (ID 247334548)
250,A2M3,No hay ruta entre origen (ID 2152321059) y destino (ID 294042828)
747,A7N6,No hay ruta entre origen (ID 462618016) y destino (ID 566522778)
1145,B2S3,No hay ruta entre origen (ID 2152321059) y destino (ID 583789983)
1157,B2S3,No hay ruta entre origen (ID 12881327218) y destino (ID 10119600362)
2313,C8A2,No hay ruta entre origen (ID 647931730) y destino (ID 153303024)
2315,C8A2,No hay ruta entre origen (ID 195340551) y destino (ID 470731928)
2338,C8H5,No hay ruta entre origen (ID 257737379) y destino (ID 4589451955)
2511,C9W2,No hay ruta entre origen (ID 3772113194) y destino (ID 259065764)
2853,D3F1,No hay ruta entre origen (ID 1987029780) y destino (ID 261764693)
3010,D5M2,No hay ruta entre origen (ID 422186433) y destino (ID 4589451955)
3111,D6I9,No hay ruta entre origen (ID 4585419636) y destino (ID 1539350657)
